Target,MtL,FS method,Shift type,%,F1 score
LinearModel__absperf,LogisticRegression(C=0.05),correlation,random,19.607843137254903,0.6
LinearModel__absperf,"MLPClassifier(activation='logistic', alpha=0.05, hidden_layer_sizes=25,
              learning_rate='adaptive', learning_rate_init=0.05, max_iter=100,
              solver='lbfgs')",correlation,random,19.607843137254903,0.6341463414634146
LinearModel__absperf,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='merror',
              feature_types=None, gamma=None, grow_policy=None,
              importance_type=None, interaction_constraints=None,
              learning_rate=0.1, max_bin=None, max_cat_threshold=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=7,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=50,
              n_jobs=None, num_parallel_tree=None, random_state=None, ...)",correlation,random,19.607843137254903,0.7027027027027027
LinearModel__absperf,"KNeighborsClassifier(leaf_size=40, n_neighbors=6, p=1)",correlation,random,19.607843137254903,0.6285714285714286
LinearModel__absperf,LogisticRegression(C=0.05),counterfactual,random,19.607843137254903,0.6
LinearModel__absperf,"MLPClassifier(activation='logistic', alpha=0.05, hidden_layer_sizes=25,
              learning_rate='adaptive', learning_rate_init=0.05, max_iter=100,
              solver='lbfgs')",counterfactual,random,19.607843137254903,0.5294117647058824
LinearModel__absperf,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='merror',
              feature_types=None, gamma=None, grow_policy=None,
              importance_type=None, interaction_constraints=None,
              learning_rate=0.1, max_bin=None, max_cat_threshold=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=7,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=50,
              n_jobs=None, num_parallel_tree=None, random_state=None, ...)",counterfactual,random,19.607843137254903,0.5405405405405406
LinearModel__absperf,"KNeighborsClassifier(leaf_size=40, n_neighbors=6, p=1)",counterfactual,random,19.607843137254903,0.6285714285714286
LinearModel__absperf,LogisticRegression(C=0.05),f_value,random,19.607843137254903,0.55
LinearModel__absperf,"MLPClassifier(activation='logistic', alpha=0.05, hidden_layer_sizes=25,
              learning_rate='adaptive', learning_rate_init=0.05, max_iter=100,
              solver='lbfgs')",f_value,random,19.607843137254903,0.6829268292682927
LinearModel__absperf,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='merror',
              feature_types=None, gamma=None, grow_policy=None,
              importance_type=None, interaction_constraints=None,
              learning_rate=0.1, max_bin=None, max_cat_threshold=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=7,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=50,
              n_jobs=None, num_parallel_tree=None, random_state=None, ...)",f_value,random,19.607843137254903,0.7058823529411765
LinearModel__absperf,"KNeighborsClassifier(leaf_size=40, n_neighbors=6, p=1)",f_value,random,19.607843137254903,0.5714285714285714
LinearModel__absperf,LogisticRegression(C=0.05),mutual_info,random,19.607843137254903,0.6153846153846154
LinearModel__absperf,"MLPClassifier(activation='logistic', alpha=0.05, hidden_layer_sizes=25,
              learning_rate='adaptive', learning_rate_init=0.05, max_iter=100,
              solver='lbfgs')",mutual_info,random,19.607843137254903,0.717948717948718
LinearModel__absperf,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='merror',
              feature_types=None, gamma=None, grow_policy=None,
              importance_type=None, interaction_constraints=None,
              learning_rate=0.1, max_bin=None, max_cat_threshold=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=7,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=50,
              n_jobs=None, num_parallel_tree=None, random_state=None, ...)",mutual_info,random,19.607843137254903,0.6842105263157895
LinearModel__absperf,"KNeighborsClassifier(leaf_size=40, n_neighbors=6, p=1)",mutual_info,random,19.607843137254903,0.6
LinearModel__absperf,LogisticRegression(C=0.05),xgb,random,19.607843137254903,0.5581395348837209
LinearModel__absperf,"MLPClassifier(activation='logistic', alpha=0.05, hidden_layer_sizes=25,
              learning_rate='adaptive', learning_rate_init=0.05, max_iter=100,
              solver='lbfgs')",xgb,random,19.607843137254903,0.55
LinearModel__absperf,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='merror',
              feature_types=None, gamma=None, grow_policy=None,
              importance_type=None, interaction_constraints=None,
              learning_rate=0.1, max_bin=None, max_cat_threshold=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=7,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=50,
              n_jobs=None, num_parallel_tree=None, random_state=None, ...)",xgb,random,19.607843137254903,0.5853658536585366
LinearModel__absperf,"KNeighborsClassifier(leaf_size=40, n_neighbors=6, p=1)",xgb,random,19.607843137254903,0.4375
LinearModel__absperf,LogisticRegression(C=0.05),lasso,random,19.607843137254903,0.6
LinearModel__absperf,"MLPClassifier(activation='logistic', alpha=0.05, hidden_layer_sizes=25,
              learning_rate='adaptive', learning_rate_init=0.05, max_iter=100,
              solver='lbfgs')",lasso,random,19.607843137254903,0.7222222222222222
LinearModel__absperf,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='merror',
              feature_types=None, gamma=None, grow_policy=None,
              importance_type=None, interaction_constraints=None,
              learning_rate=0.1, max_bin=None, max_cat_threshold=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=7,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=50,
              n_jobs=None, num_parallel_tree=None, random_state=None, ...)",lasso,random,19.607843137254903,0.6666666666666666
LinearModel__absperf,"KNeighborsClassifier(leaf_size=40, n_neighbors=6, p=1)",lasso,random,19.607843137254903,0.6875
LinearModel__absperf,LogisticRegression(C=0.05),treatment_effect,random,19.607843137254903,0.6666666666666666
